pfas,logKMW_pH7.0,KMW_Lkg_lipid,KD_HSA_umol_L_pH7.4
PFBA,1.63,42.7,84.9
PFPeA,2.02,104.7,16.27
PFHxA,2.42,263.0,13.98
PFHpA,2.85,707.9,6.2
PFOA,3.28,1905.5,2.57
PFNA,3.75,5623.4,3.75
PFDA,4.18,15135.6,3.64
PFUnA,4.5,31622.8,4.73
PFDoA,4.82,66069.3,15.76
PFTrDA,5.11,128825.0,31.44
PFTeDA,5.36,229086.8,13.09
PFHxDA,5.73,537031.8,10.45
PFBS,2.72,524.8,15.6
PFPeS,3.16,1445.4,17.15
PFHxS,3.65,4466.8,1.31
PFHpS,4.09,12302.7,1.68
PFOS,4.5,31622.8,0.94
PFNS,4.82,66069.3,6.56
PFDS,5.15,141253.8,1.88
PFDoS,5.66,457088.2,1.29
4:2 FTS,2.21,162.2,18.96
6:2 FTS,3.12,1318.3,2.42
8:2 FTS,4.07,11749.0,4.49
10:2 FTS,4.57,37153.5,2.31
PFOSA,3.91,8128.3,11.18
NMeFOSA,4.17,14791.1,12.22
NEtFOSA,4.41,25704.0,12.98
NMeFOSAA,4.21,16218.1,6.63
NEtFOSAA,4.4,25118.9,5.44
FOSAA,4.28,19054.6,7.4
NMeFOSE,3.96,9120.1,5.88
NEtFOSE,4.21,16218.1,6.09
HFPO-DA,2.07,117.5,6.57
ADONA,2.07,117.5,5.68
PFMPA,2.0,100.0,47.55
PFMBA,2.04,109.6,0.22
NFDHA,2.0,100.0,17.34
9Cl-PF3ONS,4.38,23988.3,1.58
11Cl-PF3OUdS,4.75,56234.1,3.52
PFEESA,2.49,309.0,5.15
3:3 FTCA,2.14,138.0,70.57
5:3 FTCA,2.47,295.1,10.75
7:3 FTCA,3.4,2511.9,1.82
6:2 FTCA,2.34,218.8,3.64
8:2 FTCA,3.23,1698.2,1.99
10:2 FTCA,4.1,12589.3,9.06
8Cl-PFOS,4.73,53703.2,0.87
PFEtCHxS,3.81,6456.5,1.62
FBSA,2.07,117.5,5.58
FHxSA,3.0,1000.0,3.07
6:2 FTUCA,2.16,144.5,4.23
8:2 FTUCA,3.13,1349.0,2.26
6:2 diPAP,4.62,41686.9,2.71
8:2 diPAP,5.17,147910.8,14.4
diSAmPAP,5.06,114815.4,5.94
PFHxSaAm,3.52,3311.3,6.19
6:2 FtSaB,2.98,955.0,16.97
N-TAmP-FHxSA,3.14,1380.4,33.68
5:3 FTB,1.63,42.7,30.44
5:1:2 FTB,2.01,102.3,49.32
