pfas,porewater_ngL_avg,soil_nggdw_avg,brownrice_ngg_avg,rice_DF_pct
PFBA,15.6,0.0499,,0.0
PFPeA,12.1,0.0666,,0.0
PFHxA,8.13,0.0679,,0.0
PFHpA,24.7,0.499,0.00974,13.0
PFOA,78.7,0.16,0.349,57.0
PFNA,13.0,0.272,0.0287,20.0
PFDA,3.54,0.217,0.00551,6.7
PFUnDA,0.244,0.149,0.00807,13.0
PFDoDA,0.0488,0.0802,0.00172,3.3
PFTrDA,,0.0568,,0.0
PFTeDA,,,,0.0
PFHxDA,,,,0.0
PFODA,,,,0.0
PFBS,3.94,0.0134,,0.0
PFHxS,3.19,0.233,,0.0
PFOS,3.09,0.0538,,0.0
PFDS,,,,0.0
∑17PFASs,166.0,1.92,0.403,77.0
