PFAS,n_C,group,K_PL,K_prot,K_cw,f_xy,B_root,B_stem,B_leaf,B_grain
PFBA,4,CA,42.66,10.72,0.082,0.79,1.679,1.127,1.978,1.442
PFPeA,5,CA,104.71,12.3,0.291,0.47,2.42,1.47,3.275,2.21
PFHxA,6,CA,263.03,14.13,1.0326,0.216,4.243,2.339,6.526,4.014
PFHpA,7,CA,707.95,13.18,3.6639,0.098,9.171,4.765,15.501,8.65
PFOA,8,CA,1905.46,12.3,13.0,0.04,22.97,11.49,39.798,21.489
PFNA,9,CA,5623.41,16.98,46.1257,0.014,67.008,32.777,115.623,62.355
PFDA,10,CA,15135.61,23.44,163.6603,0.0051,185.96,89.805,310.762,169.748
PFUnDA,11,CA,31622.78,23.44,580.6887,0.0039,434.238,205.603,657.186,376.322
PFDoDA,12,CA,66069.34,23.44,2060.3612,0.003,1074.638,496.21,1405.305,868.755
PFBS,4,SA,524.81,36.31,0.631,0.26296,7.89,3.838,12.411,8.366
PFHxS,6,SA,4466.84,42.66,7.9433,0.07191,49.09,24.196,91.734,49.025
PFOS,8,SA,31622.78,34.67,100.0,0.01332,338.661,167.261,638.296,329.152
