congener,n_C,group,B_root_internal_ceiling,obs_root_BAF_fw,rootBAF_over_ceiling,f_xy_fit,L_Ph_fit,kappa_d_fit,fit_cost,obs_TF_straw,note
PFBA,4,PFCA,1.2,0.68,0.57,0.0772,0.00024,0.87,0.0,16.22,PFCA C4-C7: f_xy↓ monotone (physical)
PFPeA,5,PFCA,1.3,0.27,0.21,0.047,0.00022,3.225,0.0,10.14,PFCA C4-C7: f_xy↓ monotone (physical)
PFHxA,6,PFCA,1.6,0.28,0.18,0.0232,0.0011,3.943,0.0,4.09,PFCA C4-C7: f_xy↓ monotone (physical)
PFHpA,7,PFCA,2.3,0.78,0.34,0.0113,0.00182,1.828,0.0,1.37,PFCA C4-C7: f_xy↓ monotone (physical)
PFOA,8,PFCA,4.2,0.49,0.12,0.0256,0.00478,6.205,0.0,1.71,
PFNA,9,PFCA,9.9,0.57,0.06,0.0433,0.01271,14.218,0.0,1.22,
PFDA,10,PFCA,24.3,4.16,0.17,0.0817,0.06687,3.942,0.0,0.83,
PFUnDA,11,PFCA,49.1,19.53,0.4,0.0933,0.06291,1.392,0.0,0.42,
PFDoDA,12,PFCA,101.0,69.28,0.69,0.6727,0.5,0.001,0.08,0.72,near-MQL water (0.02 ng/L); fit degraded
PFBS,4,PFSA,2.4,2.28,0.95,0.0083,0.00063,0.46,0.0,0.96,
PFOS,8,PFSA,49.4,5.93,0.12,0.1419,0.06194,5.888,0.0,0.73,
