name,n_C,group,f_xy_old,f_xy_new,L_Ph_new,kappa_d_new,rmse
PFBA,4,PFCA,0.0772,0.02785,0.0001,0.83275,0.04257
PFPeA,5,PFCA,0.047,0.01746,0.0001,3.20231,0.03382
PFHxA,6,PFCA,0.0232,0.01186,0.00406,3.91301,0.0
PFHpA,7,PFCA,0.0113,0.00594,0.0068,1.81493,0.0
PFOA,8,PFCA,0.0256,0.01505,0.01875,6.17672,0.0
PFNA,9,PFCA,0.0433,0.02599,0.04892,14.13797,0.0
PFDA,10,PFCA,0.0817,0.06143,0.20877,3.78405,0.0
PFUnDA,11,PFCA,0.0933,0.04699,0.15615,1.279,0.0
PFDoDA,12,PFCA,0.6727,0.28851,0.99992,0.001,0.33658
PFBS,4,PFSA,0.0083,0.00336,0.00017,0.45483,0.0
PFOS,8,PFSA,0.1419,0.07719,0.1907,5.71504,0.0
